utm_x	utm_y	yaw	 roadwheelAngle	 speed	 angular_velocity_x	 y	 z	 linear_acc_x	 y	 z	 lat_err	 yaw_err	 longitude	 latitude
670828.530	3529866.941	3.071	0.079	4.936	0.015	-0.008	0.015	-0.044	0.884	-0.515	0.000	0.000	118.8063128	31.8918123
670828.550	3529866.691	3.070	0.102	4.936	-0.015	-0.017	-0.015	-0.207	0.859	-1.228	0.000	0.000	118.8063130	31.8918101
670828.550	3529866.691	3.070	0.102	4.936	0.022	-0.007	0.022	-0.072	0.943	-0.228	0.000	0.000	118.8063130	31.8918101
670828.571	3529866.438	3.070	0.106	5.179	0.000	-0.004	0.000	0.030	0.069	0.064	0.000	0.000	118.8063132	31.8918078
670828.571	3529866.438	3.070	0.106	5.197	-0.005	-0.013	-0.005	-0.012	1.102	0.682	0.000	0.000	118.8063132	31.8918078
670828.592	3529866.183	3.069	0.106	5.197	0.003	-0.013	0.003	-0.067	0.089	0.134	0.000	0.000	118.8063133	31.8918055
670828.613	3529865.926	3.069	0.106	5.226	0.031	-0.002	0.031	-0.027	0.918	0.097	0.000	0.000	118.8063135	31.8918032
670828.613	3529865.926	3.069	0.106	5.226	0.002	-0.006	0.002	-0.138	0.949	0.178	0.000	0.000	118.8063135	31.8918032
670828.634	3529865.667	3.069	0.106	5.249	0.031	-0.008	0.031	0.076	0.963	-0.117	0.000	0.000	118.8063137	31.8918008
670828.634	3529865.667	3.069	0.106	5.249	-0.002	-0.010	-0.002	-0.238	1.086	0.123	0.000	0.000	118.8063137	31.8918008
670828.655	3529865.407	3.069	0.111	5.266	0.003	-0.007	0.003	0.057	0.947	0.239	0.000	0.000	118.8063139	31.8917985
670828.676	3529865.144	3.069	0.111	5.266	-0.017	-0.004	-0.017	0.232	0.373	-0.034	0.000	0.000	118.8063140	31.8917961
